id,country,year,life_expectancy,country_name
2683095,MYS,2010,74.25258,Malaysia
2689357,MDA,2010,68.81108,Moldova
2693277,DEU,2000,78.09462,Germany
2693798,SWE,2010,81.30297,Sweden
2723657,MLI,2015,60.88689,Mali
2729949,BEN,2000,56.59007,Benin
2739853,MLT,2000,77.8685,Malta
2742551,FIN,2019,81.6124,Finland
2753935,UKR,2015,72.2022,Ukraine
2763814,THA,2000,71.25484,Thailand
2765198,STP,2010,68.24239,São Tomé & Príncipe
2767589,GIN,2010,58.06684,Guinea
2788702,SRB,2000,71.42738,Serbia
2804578,MOZ,2019,58.13618,Mozambique
2810974,IRN,2010,75.85632,Iran
2811124,POL,2015,77.2867,Poland
2816656,MOZ,2010,53.47655,Mozambique
2828838,ETH,2010,62.91552,Ethiopia
2834048,ISL,2019,82.32826,Iceland
2835140,ZWE,2019,60.68252,Zimbabwe
2838012,SVN,2010,79.5501,Slovenia
2843829,CHN,2000,71.58401,China
2845982,ITA,2010,81.89587,Italy
2864152,HUN,2015,75.56887,Hungary
2864914,AGO,2000,49.30265,Angola
2866752,COL,2000,73.74615,Colombia
2868703,CZE,2000,74.95213,Czechia
2904627,CAN,2000,79.09756,Canada
2906971,VCT,2010,72.85194,St. Vincent & Grenadines
2914461,UGA,2000,48.76083,Uganda
2923701,BHR,2010,74.51688,Bahrain
2951971,SLE,2010,54.74398,Sierra Leone
2952315,LBY,2015,74.60217,Libya
2953762,PHL,2019,70.42632,Philippines
2971751,GUY,2010,64.77226,Guyana
2972789,SLV,2019,75.033,El Salvador
2978151,IRL,2000,76.41336,Ireland
2982411,BHR,2015,76.46371,Bahrain
2994135,ZMB,2000,44.46076,Zambia
2999622,MLI,2019,62.79813,Mali
3015415,BFA,2015,60.91832,Burkina Faso
3018561,IND,2019,70.78756,India
3023455,PRK,2000,63.95288,North Korea
3035903,WSM,2010,69.56606,Samoa
3043126,GHA,2015,64.5454,Ghana
3057233,CYP,2000,78.74654,Cyprus
3073188,PER,2000,74.42262,Peru
3085104,CPV,2010,74.12373,Cape Verde
3088139,SYC,2015,73.19635,Seychelles
3098860,ESP,2019,83.21875,Spain
3101233,HND,2000,70.03738,Honduras
3103303,GRC,2019,81.09948,Greece
3121871,HRV,2010,76.71532,Croatia
3126419,GBR,2010,80.24544,United Kingdom
3135233,MUS,2000,71.17201,Mauritius
3147326,VUT,2000,63.90294,Vanuatu
3155658,HTI,2000,57.04974,Haiti
3156968,SLE,2019,60.7705,Sierra Leone
3160718,PAK,2010,62.64254,Pakistan
3164050,STP,2000,63.45224,São Tomé & Príncipe
3165300,ARM,2019,76.02519,Armenia
3166956,TUN,2019,77.03745,Tunisia
3168704,SLV,2000,72.4995,El Salvador
3180459,PRT,2015,80.88557,Portugal
3191218,CHE,2010,82.1935,Switzerland
3193002,SAU,2019,74.31111,Saudi Arabia
3207365,NOR,2015,82.00599,Norway
3210328,GIN,2019,61.00587,Guinea
3215055,BEN,2019,63.42606,Benin
3216906,JAM,2019,75.97828,Jamaica
3223015,AUS,2010,81.9043,Australia
3242532,KOR,2000,76.21414,South Korea
3258140,BEL,2000,77.66169,Belgium
3265347,BDI,2015,62.04675,Burundi
3265683,LVA,2010,72.93502,Latvia
3331629,SEN,2015,67.20235,Senegal
